
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,1,1,

specie1,specie2,specie3,specie4,specie5,specie6,
1,19,0,14,1196,1967,
4,2,1,21,1219,2028,
5,9,0,31,1233,1978,
4,11,1,2,1206,2013,
5,3,2,4,1280,1967,
4,2,9,17,1282,2012,
2,12,8,14,1146,1945,
1,4,1,2,1227,1928,
1,15,10,11,1235,1970,
5,22,10,1,1271,1958,
2,11,5,5,1230,1912,
1,29,8,20,1190,1974,
3,13,2,20,1274,1963,
1,0,10,0,1234,2024,
3,2,2,0,1258,1941,
5,4,2,7,1253,1939,
5,24,3,9,1172,1960,
5,1,9,12,1294,1992,
2,22,13,19,1206,1983,
5,0,0,8,1283,1966,
4,2,8,14,1224,1961,
2,7,0,63,1241,2004,
3,17,3,7,1210,2029,
2,0,4,25,1229,1961,
1,28,46,10,1222,1985,
5,14,17,5,1186,2014,
4,2,11,12,1211,1982,
0,3,2,3,1255,2030,
1,5,3,32,1242,1977,
3,1,18,26,1263,2035,
2,5,11,11,1282,1992,
7,0,18,14,1198,2003,
1,8,0,33,1282,2037,
5,2,4,0,1167,1939,
0,5,3,14,1205,2043,
3,16,1,31,1253,2014,
0,3,0,8,1247,1963,
5,1,12,0,1292,1982,
5,2,4,25,1184,2024,
4,10,6,40,1210,1963,
0,5,9,14,1242,2004,
2,2,25,17,1250,1945,

1,1,10,9,1905,2988,
0,4,0,7,1852,2921,
1,17,1,12,1785,3028,
6,1,1,24,1918,2843,
2,2,17,19,1917,2934,
1,6,3,7,1895,2912,
5,9,10,46,1851,2961,
0,35,9,14,1846,2974,
2,2,18,13,1778,2844,
0,3,4,18,1924,2981,
0,7,6,3,1944,2961,
0,7,10,10,1884,2950,
0,6,2,10,1829,2979,
0,40,0,32,1813,2897,
4,7,4,19,1816,3050,
1,23,3,6,1828,2981,
4,6,4,35,1817,3023,
5,7,22,17,1882,2904,
0,25,10,8,1852,2888,
3,13,7,13,1873,3054,
2,1,1,8,1840,2955,
2,6,26,17,1809,2810,
2,2,16,0,1874,2930,
1,4,8,23,1819,3092,
2,14,1,12,1853,2935,
2,3,19,6,1830,3019,
4,0,27,15,1885,2854,
2,1,2,16,1946,2942,
3,5,2,22,1910,2917,
0,5,4,18,1812,3005,
0,10,13,18,1813,2923,
0,12,1,4,1879,3029,
3,0,4,11,1859,2974,
5,8,1,8,1844,2971,
0,8,1,9,1897,2981,
8,8,12,47,1859,2978,
0,8,0,9,1775,3063,
0,11,1,47,1822,2926,
4,1,7,12,1912,3042,
3,1,8,3,1862,2938,
1,0,8,5,1860,2963,
0,6,1,14,1751,2963,
2,1,10,18,1962,2878,
1,0,0,32,1835,2947,
2,2,9,15,1930,3082,
7,2,0,5,1887,2846,
1,4,11,19,1792,3048,
2,5,4,5,1811,2894,
3,1,2,8,1852,2999,
4,39,6,39,1758,3053,
5,4,0,46,1875,2942,
2,2,6,2,1823,3033,
1,2,4,42,1833,2989,
1,0,4,6,1818,3012,
1,10,7,7,1834,2945,
1,0,29,42,1834,2977,
1,7,12,6,1871,2990,
6,3,2,4,1884,2952,
2,15,5,9,1787,2930,
3,12,1,2,1838,3016,
4,15,16,29,1880,3021,
1,13,13,1,1786,2989,
5,0,11,11,1890,2976,
5,4,29,12,1913,2984,
0,8,7,19,1751,2955,
2,14,1,18,1889,2894,
0,6,11,38,1835,2947,
5,8,3,6,1908,2969,
0,23,8,0,1862,2888,
1,11,0,31,1856,2970,
3,17,18,41,1877,2982,
1,13,1,5,1851,3020,
3,22,11,1,1847,2960,
6,6,9,12,1893,2916,
3,6,1,16,1785,2994,
4,7,20,22,1867,2982,
0,31,8,0,1849,2979,
3,0,2,16,1890,2979,
3,4,15,35,1836,2999,
0,4,2,74,1845,2983,
4,2,31,2,1826,2995,
2,0,8,33,1834,3032,
0,28,25,8,1855,2945,
5,6,12,13,1846,3080,
1,1,9,10,1862,2954,
0,2,0,2,1842,2998,
1,7,3,32,1861,2963,
4,1,1,82,1891,3017,
1,10,4,5,1894,3015,
6,2,4,2,1854,2972,
0,16,1,29,1928,3065,
5,5,4,29,1788,2973,
0,9,7,9,1839,3036,
4,32,5,23,1861,2982,
0,5,19,33,1834,2943,
4,6,9,3,1920,2934,
3,2,3,25,1794,2994,
5,13,9,22,1834,2984,
2,12,1,34,1831,3064,
0,2,4,12,1902,2894,

0,1,10,16,2534,3952,
1,3,16,37,2415,3883,
2,4,9,32,2409,4011,
5,0,11,40,2501,3863,
3,0,11,17,2561,3997,
0,13,4,2,2491,3850,
1,0,11,59,2469,3994,
0,31,1,5,2436,3980,
1,2,3,22,2369,3862,
2,4,12,34,2498,3948,
0,0,7,0,2557,3946,
0,4,31,27,2523,3935,
0,12,2,2,2402,3956,
1,23,1,65,2418,3853,
2,5,9,54,2498,4041,
0,2,9,13,2472,3928,
3,1,0,28,2409,4029,
3,2,1,5,2464,3907,
4,12,1,1,2457,3824,
1,1,1,16,2496,4064,
0,5,5,24,2429,3948,
1,7,15,1,2423,3785,
1,2,13,4,2513,3908,
0,3,0,0,2404,4125,
1,16,4,35,2514,3890,
1,4,17,38,2452,3971,
3,9,22,7,2544,3849,
2,1,10,49,2567,3953,
1,1,30,3,2505,3938,
2,1,1,14,2437,4001,
0,1,1,14,2411,3866,
2,4,8,12,2517,4032,
0,2,1,11,2475,4015,
6,3,9,8,2441,3935,
0,3,13,31,2511,4039,
3,16,2,49,2454,3967,
2,7,6,5,2433,4049,
1,2,14,11,2465,3915,
5,1,2,1,2510,4051,
1,9,12,8,2506,3945,
1,13,2,7,2430,3957,
1,21,8,2,2360,4020,
2,2,9,4,2610,3846,
0,2,18,17,2480,3968,
2,6,9,2,2576,4060,
5,2,0,8,2517,3850,
1,0,0,21,2339,4029,
1,16,11,14,2447,3917,
3,0,11,25,2482,3984,
2,42,1,17,2408,4068,
6,9,2,30,2505,3909,
0,16,3,14,2423,4086,
0,0,5,31,2428,3963,
1,0,20,3,2455,4015,
0,4,1,14,2476,3999,
2,5,27,47,2394,3928,
0,2,11,18,2503,3969,
6,3,15,18,2501,3978,
0,4,6,7,2387,3952,
1,13,0,7,2439,4044,
2,18,1,13,2497,4013,
2,21,1,11,2407,3898,
2,9,0,4,2499,3944,
5,17,14,12,2549,3998,
1,0,5,11,2360,3968,
0,0,2,28,2496,3864,
3,9,16,35,2429,3944,
5,10,0,23,2545,3973,
1,26,3,6,2493,3874,
0,5,0,14,2456,4008,
2,15,11,21,2500,4049,
0,6,5,8,2454,3984,
2,30,25,13,2428,3964,
5,19,0,0,2493,3921,
3,1,2,33,2430,4028,
3,3,9,33,2492,4023,
0,44,9,11,2439,4005,
1,16,20,10,2493,3997,
0,7,3,32,2466,3962,
1,5,3,63,2454,4006,
2,0,5,25,2465,3960,
2,12,3,36,2434,4027,
0,36,31,26,2487,3898,
1,14,11,9,2463,4087,
0,9,4,3,2529,3943,
1,2,3,2,2472,3944,
3,1,8,35,2457,3976,
0,13,7,57,2482,4042,
0,2,6,0,2486,3984,
4,8,2,18,2463,3948,
0,7,14,7,2549,4057,
3,1,14,40,2366,3900,
0,8,23,10,2443,4014,
0,17,4,17,2485,3971,
1,0,19,22,2424,3928,
2,14,0,7,2553,3916,
3,6,5,4,2401,4009,
6,4,4,34,2474,3994,
2,10,14,33,2447,4066,
1,3,11,29,2522,3826,

0,5,8,23,3147,4952,
2,7,0,30,3007,4828,
0,6,0,30,3028,5003,
5,15,6,36,3068,4853,
6,15,11,3,3176,4966,
0,6,15,6,3116,4876,
1,3,23,41,3045,5015,
0,33,24,26,3057,4976,
2,6,0,48,2998,4868,
2,13,6,51,3110,4958,
1,6,3,28,3136,4947,
0,3,17,45,3185,4940,
1,21,6,15,2985,4950,
1,20,28,45,3033,4893,
4,3,19,53,3116,5072,
2,5,8,6,3083,4921,
2,9,3,39,3024,4998,
2,0,8,23,3038,4910,
1,5,19,0,3066,4826,
1,14,17,5,3082,5021,
0,0,2,36,3019,4936,
1,3,4,11,3031,4749,
1,6,2,10,3113,4901,
2,7,2,11,3009,5115,
0,3,1,16,3093,4897,
3,1,5,33,3078,4912,
3,23,26,15,3145,4837,
1,8,6,55,3179,4981,
0,2,55,8,3138,4942,
2,10,4,15,3026,5000,
2,4,3,34,3022,4849,
3,0,3,7,3154,5019,
1,11,1,0,3128,4973,
4,5,4,6,3077,4928,
1,8,1,5,3150,5031,
1,8,1,68,3070,4972,
4,0,7,3,3029,4987,
0,2,11,2,3061,4884,
7,2,5,40,3126,5045,
0,2,4,15,3084,4902,
1,8,1,19,3061,4918,
0,0,2,5,2957,5033,
0,7,7,22,3215,4835,
0,8,2,38,3105,4985,
0,4,9,0,3171,4978,
4,9,0,3,3143,4863,
0,3,16,42,2945,5005,
0,5,4,1,3103,4884,
2,2,16,39,3135,4944,
0,39,1,27,2976,5033,
6,5,11,26,3105,4889,
0,1,10,10,3043,5081,
0,15,22,4,3055,4934,
0,3,11,9,3102,5026,
2,6,5,0,3062,4957,
0,20,10,34,2997,4971,
1,4,6,13,3135,4950,
2,0,2,2,3102,4991,
0,7,9,13,2964,4940,
0,13,3,25,3041,5074,
2,23,8,13,3148,4981,
1,6,0,21,3034,4895,
1,8,4,5,3117,4954,
1,25,8,15,3169,4988,
1,3,10,1,2965,4948,
0,6,5,31,3094,4870,
1,6,10,44,3087,4902,
7,3,3,30,3184,4946,
0,17,0,27,3123,4821,
0,4,8,2,3098,4995,
1,15,1,20,3074,5031,
0,21,3,10,3038,4947,
2,24,25,34,3060,4916,
4,11,9,11,3088,4923,
0,0,5,18,3030,5036,
4,3,2,28,3107,5030,
2,52,12,10,3030,4974,
0,17,39,29,3121,4941,
0,1,5,9,3060,4950,
2,12,15,65,3059,5035,
2,13,3,0,3047,4901,
0,1,17,12,3055,5053,
0,32,22,1,3156,4898,
2,16,2,7,3054,5088,
0,6,3,28,3121,4875,
1,1,1,24,3102,4915,
5,6,2,34,3046,4983,
0,4,6,52,3065,5095,
0,0,3,12,3074,4935,
3,11,2,15,3058,4893,
0,0,9,12,3185,5047,
2,0,32,29,2966,4890,
0,5,20,12,3037,5017,
0,6,4,31,3080,4966,
0,0,7,33,3070,4898,
2,19,27,2,3167,4960,
5,4,12,5,2991,5068,
4,0,8,43,3119,4973,
2,1,21,31,3031,5094,
1,2,3,1,3176,4838,

3,3,0,17,3782,5985,
3,14,1,0,3578,5790,
2,3,6,18,3676,5964,
5,17,0,6,3681,5825,
3,18,1,0,3760,5935,
1,9,0,1,3687,5899,
1,15,0,33,3616,5999,
0,18,12,36,3712,5927,
0,13,22,39,3613,5918,
0,12,4,55,3680,5944,
0,4,12,45,3748,5959,
1,7,32,48,3837,5918,
1,12,16,11,3585,5899,
0,7,39,71,3681,5839,
2,9,8,48,3707,6104,
1,28,4,13,3701,5963,
3,6,7,68,3632,6043,
2,2,4,9,3687,5903,
0,0,1,6,3697,5828,
1,0,1,2,3715,6048,
0,2,10,62,3648,5905,
3,11,0,9,3609,5723,
1,1,1,6,3763,5893,
2,6,5,6,3647,6090,
0,4,3,17,3700,5858,
5,0,7,50,3686,5886,
2,27,16,5,3755,5798,
0,11,1,38,3823,5995,
0,4,40,7,3760,5916,
1,5,12,15,3638,5928,
0,8,4,35,3612,5849,
0,0,16,18,3756,6041,
3,0,10,25,3735,5993,
2,0,1,6,3702,5943,
0,10,1,1,3787,6056,
0,7,6,67,3675,5989,
1,6,2,3,3692,5949,
1,3,16,0,3641,5886,
6,4,2,54,3702,5993,
1,2,7,0,3702,5858,
0,5,5,14,3750,5915,
1,5,5,5,3578,6088,
0,6,0,29,3819,5772,
0,1,4,36,3713,5986,
1,10,1,2,3787,5937,
2,18,1,35,3707,5833,
2,3,7,49,3563,5941,
0,0,1,14,3700,5859,
2,10,7,30,3772,5900,
0,35,1,27,3597,6037,
5,4,5,0,3736,5872,
0,14,18,19,3659,6078,
1,17,34,14,3636,5917,
0,3,36,13,3735,6034,
2,6,28,17,3648,5922,
2,5,15,30,3611,5991,
1,0,14,17,3750,5986,
0,1,4,8,3699,5955,
1,16,0,8,3568,5929,
0,10,4,10,3635,6036,
4,19,0,3,3749,5948,
3,1,3,14,3710,5896,
0,1,4,12,3723,5960,
0,24,1,8,3817,5951,
0,16,15,8,3586,5901,
1,0,2,33,3762,5867,
1,2,3,29,3731,5929,
6,4,1,17,3762,5924,
0,13,0,23,3744,5877,
0,8,0,19,3700,5978,
